"ID";"Leefomgeving";"Persoonskenmerken";"Perioden";"NietZoGelukkig_1";"Gelukkig_2";"NietZoTevredenMetHetLeven_3";"TevredenMetHetLeven_4"
"96";"  999";"13000";"2009JJ00";"      22";"      78";"      24";"      76"
"97";"  999";"13000";"2010XX00";"      23";"      77";"      22";"      78"
"98";"  999";"13000";"2010JJ00";"      26";"      74";"      20";"      80"
"99";"  999";"13000";"2012JJ00";"      23";"      77";"      25";"      75"
"100";"18550";"10001";"2003JJ00";"      18";"      82";"      18";"      82"
"101";"18550";"10001";"2004JJ00";"      17";"      83";"      18";"      82"
"102";"18550";"10001";"2005JJ00";"      18";"      82";"      18";"      82"
"103";"18550";"10001";"2006JJ00";"      15";"      85";"      19";"      81"
"104";"18550";"10001";"2007JJ00";"      19";"      81";"      18";"      82"
"105";"18550";"10001";"2008JJ00";"      14";"      86";"      15";"      85"
"106";"18550";"10001";"2009JJ00";"      15";"      85";"      16";"      84"
"107";"18550";"10001";"2010XX00";"      14";"      86";"      18";"      82"
"108";"18550";"10001";"2010JJ00";"      19";"      81";"      19";"      81"
"109";"18550";"10001";"2012JJ00";"      17";"      83";"      22";"      78"
"110";"18550";"15400";"2003JJ00";"      16";"      84";"      16";"      84"
"111";"18550";"15400";"2004JJ00";"      16";"      84";"      20";"      80"
"112";"18550";"15400";"2005JJ00";"      19";"      81";"      17";"      83"
"113";"18550";"15400";"2006JJ00";"      11";"      89";"      16";"      84"
"114";"18550";"15400";"2007JJ00";"      16";"      84";"      16";"      84"
"115";"18550";"15400";"2008JJ00";"      16";"      84";"      17";"      83"
"116";"18550";"15400";"2009JJ00";"      14";"      86";"      14";"      86"
"117";"18550";"15400";"2010XX00";"      10";"      90";"      17";"      83"
"118";"18550";"15400";"2010JJ00";"      17";"      83";"      17";"      83"
"119";"18550";"15400";"2012JJ00";"      20";"      80";"      23";"      77"
"120";"18550";"15450";"2003JJ00";"      20";"      80";"      19";"      81"
"121";"18550";"15450";"2004JJ00";"      18";"      82";"      17";"      83"
"122";"18550";"15450";"2005JJ00";"      17";"      83";"      19";"      81"
"123";"18550";"15450";"2006JJ00";"      18";"      82";"      21";"      79"
"124";"18550";"15450";"2007JJ00";"      21";"      79";"      19";"      81"
"125";"18550";"15450";"2008JJ00";"      12";"      88";"      13";"      87"
"126";"18550";"15450";"2009JJ00";"      16";"      84";"      18";"      82"
"127";"18550";"15450";"2010XX00";"      18";"      82";"      19";"      81"
"128";"18550";"15450";"2010JJ00";"      22";"      78";"      21";"      79"
"129";"18550";"15450";"2012JJ00";"      15";"      85";"      20";"      80"
"130";"18550";"53110";"2003JJ00";"      14";"      86";"      15";"      85"
"131";"18550";"53110";"2004JJ00";"      12";"      88";"      16";"      84"
"132";"18550";"53110";"2005JJ00";"      14";"      86";"      14";"      86"
"133";"18550";"53110";"2006JJ00";"      11";"      89";"      16";"      84"
"134";"18550";"53110";"2007JJ00";"      15";"      85";"      15";"      85"
"135";"18550";"53110";"2008JJ00";"       9";"      91";"      11";"      89"
"136";"18550";"53110";"2009JJ00";"      10";"      90";"      11";"      89"
"137";"18550";"53110";"2010XX00";"       7";"      93";"      11";"      89"
"138";"18550";"53110";"2010JJ00";"      15";"      85";"      15";"      85"
"139";"18550";"53110";"2012JJ00";"       .";"       .";"       .";"       ."
"140";"18550";"53705";"2003JJ00";"      20";"      80";"      19";"      81"
